"categoria","unidade","arquivo_original","formato_original","largura_original","altura_original","bytes_antes","arquivos_finais","bytes_finais","largura_final","altura_final"
"imagem geral","","[diretorio-original]/Desenvolvedor de aplicativos.png","png","1536","1024","1885559","assets/images/courses/curso-desenvolvimento-aplicativos.webp","57612","960","640"
"imagem geral","","[diretorio-original]/designer grafico.png","png","1195","1315","2030877","assets/images/courses/curso-designer-grafico.webp","100034","960","1056"
"imagem geral","","[diretorio-original]/empregue ja.jpeg","jpeg","1600","1600","87808","assets/images/institutional/programa-empregue-ja.webp","23954","960","960"
"imagem geral","","[diretorio-original]/favicom.png","png","40","40","1966","assets/icons/favicon.png","1966","40","40"
"imagem geral","","[diretorio-original]/Gestao empresarial.png","png","1536","1024","2151323","assets/images/courses/curso-gestao-empresarial.webp","21872","960","640"
"imagem geral","","[diretorio-original]/IA.png","png","1536","1024","1612468","assets/images/courses/curso-inteligencia-artificial.webp","37690","960","640"
"imagem geral","","[diretorio-original]/Img principal.jpg","jpg","1024","1024","310205","assets/images/hero/hero-estudantes.webp","66672","1024","1024"
"imagem geral","","[diretorio-original]/Informatica Proficional.png","png","1536","1024","2332508","assets/images/courses/curso-informatica-profissional.webp","51640","960","640"
"imagem geral","","[diretorio-original]/Logo visual ponto com.png","png","546","156","59339","assets/images/brand/logo-visual-ponto-com.png","59339","546","156"
"imagem geral","","[diretorio-original]/Logo-Facebook.png","png","5000","5000","120252","assets/icons/facebook.png","2551","128","128"
"imagem geral","","[diretorio-original]/Logo-final.png","png","246","68","14583","assets/images/brand/logo-visual-ponto-com-footer.png","14583","246","68"
"imagem geral","","[diretorio-original]/Logo-Instagram.png","png","5000","5000","878550","assets/icons/instagram.png","11781","128","128"
"imagem geral","","[diretorio-original]/Operador de tecnologia.png","png","1536","1024","1850179","assets/images/courses/curso-operador-tecnologia.webp","26414","960","640"
"imagem geral","","[diretorio-original]/Pacote office.png","png","1536","1024","2304518","assets/images/courses/curso-pacote-office.webp","48082","960","640"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.08.jpeg","jpeg","720","1600","125037","assets/images/units/cariacica/cariacica-01-480.webp | assets/images/units/cariacica/cariacica-01-960.webp","153956","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.09 (1).jpeg","jpeg","720","1600","104067","assets/images/units/cariacica/cariacica-02-480.webp | assets/images/units/cariacica/cariacica-02-960.webp","115780","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.09 (2).jpeg","jpeg","720","1600","121337","assets/images/units/cariacica/cariacica-03-480.webp | assets/images/units/cariacica/cariacica-03-960.webp","141772","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.09 (3).jpeg","jpeg","720","1600","223992","assets/images/units/cariacica/cariacica-04-480.webp | assets/images/units/cariacica/cariacica-04-960.webp","329742","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.09 (4).jpeg","jpeg","720","1600","278463","assets/images/units/cariacica/cariacica-05-480.webp | assets/images/units/cariacica/cariacica-05-960.webp","423976","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.12.09.jpeg","jpeg","720","1280","81723","assets/images/units/cariacica/cariacica-06-480.webp | assets/images/units/cariacica/cariacica-06-960.webp","111538","720","1280"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.29.49 (1).jpeg","jpeg","1600","900","254808","assets/images/units/cariacica/cariacica-07-480.webp | assets/images/units/cariacica/cariacica-07-960.webp","128314","960","540"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.29.49 (2).jpeg","jpeg","900","1600","236689","assets/images/units/cariacica/cariacica-08-480.webp | assets/images/units/cariacica/cariacica-08-960.webp","281764","900","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.29.49.jpeg","jpeg","900","1600","303539","assets/images/units/cariacica/cariacica-09-480.webp | assets/images/units/cariacica/cariacica-09-960.webp","413010","900","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.29.50 (1).jpeg","jpeg","900","1600","273149","assets/images/units/cariacica/cariacica-10-480.webp | assets/images/units/cariacica/cariacica-10-960.webp","352832","900","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.29.50.jpeg","jpeg","738","1600","173526","assets/images/units/cariacica/cariacica-11-480.webp | assets/images/units/cariacica/cariacica-11-960.webp","227810","738","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.14.jpeg","jpeg","720","1600","104067","assets/images/units/cariacica/cariacica-12-480.webp | assets/images/units/cariacica/cariacica-12-960.webp","115780","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.15.jpeg","jpeg","720","1600","121337","assets/images/units/cariacica/cariacica-13-480.webp | assets/images/units/cariacica/cariacica-13-960.webp","141772","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.16.jpeg","jpeg","705","1599","86104","assets/images/units/cariacica/cariacica-14-480.webp | assets/images/units/cariacica/cariacica-14-960.webp","94006","705","1599"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.18 (1).jpeg","jpeg","720","1600","278463","assets/images/units/cariacica/cariacica-15-480.webp | assets/images/units/cariacica/cariacica-15-960.webp","423976","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.18 (2).jpeg","jpeg","720","1600","223992","assets/images/units/cariacica/cariacica-16-480.webp | assets/images/units/cariacica/cariacica-16-960.webp","329742","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.18.jpeg","jpeg","720","1600","78437","assets/images/units/cariacica/cariacica-17-480.webp | assets/images/units/cariacica/cariacica-17-960.webp","83066","720","1600"
